# Created by Saurabh Nerkar
# On Saturday, April 11, 2020 at 9:14:35 PM
# unit: meters
# design frequency: 6500000000 Hz
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1.000000	-0.03461538	-0.03461538	0.00000000	1.00000000	-220.45407685	0.00000000	0.00000000	0.00000000
2.000000	-0.01153846	-0.03461538	0.00000000	1.00000000	-330.68111528	0.00000000	0.00000000	0.00000000
3.000000	0.01153846	-0.03461538	0.00000000	1.00000000	-440.90815370	0.00000000	0.00000000	0.00000000
4.000000	0.03461538	-0.03461538	0.00000000	1.00000000	-551.13519213	0.00000000	0.00000000	0.00000000
5.000000	-0.03461538	-0.01153846	0.00000000	1.00000000	-330.68111528	0.00000000	0.00000000	0.00000000
6.000000	-0.01153846	-0.01153846	0.00000000	1.00000000	-440.90815370	0.00000000	0.00000000	0.00000000
7.000000	0.01153846	-0.01153846	0.00000000	1.00000000	-551.13519213	0.00000000	0.00000000	0.00000000
8.000000	0.03461538	-0.01153846	0.00000000	1.00000000	-661.36223055	0.00000000	0.00000000	0.00000000
9.000000	-0.03461538	0.01153846	0.00000000	1.00000000	-440.90815370	0.00000000	0.00000000	0.00000000
10.000000	-0.01153846	0.01153846	0.00000000	1.00000000	-551.13519213	0.00000000	0.00000000	0.00000000
11.000000	0.01153846	0.01153846	0.00000000	1.00000000	-661.36223055	0.00000000	0.00000000	0.00000000
12.000000	0.03461538	0.01153846	0.00000000	1.00000000	-771.58926898	0.00000000	0.00000000	0.00000000
13.000000	-0.03461538	0.03461538	0.00000000	1.00000000	-551.13519213	0.00000000	0.00000000	0.00000000
14.000000	-0.01153846	0.03461538	0.00000000	1.00000000	-661.36223055	0.00000000	0.00000000	0.00000000
15.000000	0.01153846	0.03461538	0.00000000	1.00000000	-771.58926898	0.00000000	0.00000000	0.00000000
16.000000	0.03461538	0.03461538	0.00000000	1.00000000	-881.81630740	0.00000000	0.00000000	0.00000000
