# Created by Saurabh Nerkar
# On Saturday, April 11, 2020 at 9:14:35 PM
# unit: meters
# design frequency: 6500000000 Hz
# Element	X	Y	Z	Magnitude	Phase	Phi	Theta	Gamma
1.000000	-0.05769231	-0.05769231	0.00000000	0.01330220	-220.45407685	0.00000000	0.00000000	0.00000000
2.000000	-0.03461538	-0.05769231	0.00000000	0.06043008	-330.68111528	0.00000000	0.00000000	0.00000000
3.000000	-0.01153846	-0.05769231	0.00000000	0.11533518	-440.90815370	0.00000000	0.00000000	0.00000000
4.000000	0.01153846	-0.05769231	0.00000000	0.11533518	-551.13519213	0.00000000	0.00000000	0.00000000
5.000000	0.03461538	-0.05769231	0.00000000	0.06043008	-661.36223055	0.00000000	0.00000000	0.00000000
6.000000	0.05769231	-0.05769231	0.00000000	0.01330220	-771.58926898	0.00000000	0.00000000	0.00000000
7.000000	-0.05769231	-0.03461538	0.00000000	0.06043008	-330.68111528	0.00000000	0.00000000	0.00000000
8.000000	-0.03461538	-0.03461538	0.00000000	0.27452552	-440.90815370	0.00000000	0.00000000	0.00000000
9.000000	-0.01153846	-0.03461538	0.00000000	0.52395183	-551.13519213	0.00000000	0.00000000	0.00000000
10.000000	0.01153846	-0.03461538	0.00000000	0.52395183	-661.36223055	0.00000000	0.00000000	0.00000000
11.000000	0.03461538	-0.03461538	0.00000000	0.27452552	-771.58926898	0.00000000	0.00000000	0.00000000
12.000000	0.05769231	-0.03461538	0.00000000	0.06043008	-881.81630740	0.00000000	0.00000000	0.00000000
13.000000	-0.05769231	-0.01153846	0.00000000	0.11533518	-440.90815370	0.00000000	0.00000000	0.00000000
14.000000	-0.03461538	-0.01153846	0.00000000	0.52395183	-551.13519213	0.00000000	0.00000000	0.00000000
15.000000	-0.01153846	-0.01153846	0.00000000	1.00000000	-661.36223055	0.00000000	0.00000000	0.00000000
16.000000	0.01153846	-0.01153846	0.00000000	1.00000000	-771.58926898	0.00000000	0.00000000	0.00000000
17.000000	0.03461538	-0.01153846	0.00000000	0.52395183	-881.81630740	0.00000000	0.00000000	0.00000000
18.000000	0.05769231	-0.01153846	0.00000000	0.11533518	-992.04334583	0.00000000	0.00000000	0.00000000
19.000000	-0.05769231	0.01153846	0.00000000	0.11533518	-551.13519213	0.00000000	0.00000000	0.00000000
20.000000	-0.03461538	0.01153846	0.00000000	0.52395183	-661.36223055	0.00000000	0.00000000	0.00000000
21.000000	-0.01153846	0.01153846	0.00000000	1.00000000	-771.58926898	0.00000000	0.00000000	0.00000000
22.000000	0.01153846	0.01153846	0.00000000	1.00000000	-881.81630740	0.00000000	0.00000000	0.00000000
23.000000	0.03461538	0.01153846	0.00000000	0.52395183	-992.04334583	0.00000000	0.00000000	0.00000000
24.000000	0.05769231	0.01153846	0.00000000	0.11533518	-1102.27038425	0.00000000	0.00000000	0.00000000
25.000000	-0.05769231	0.03461538	0.00000000	0.06043008	-661.36223055	0.00000000	0.00000000	0.00000000
26.000000	-0.03461538	0.03461538	0.00000000	0.27452552	-771.58926898	0.00000000	0.00000000	0.00000000
27.000000	-0.01153846	0.03461538	0.00000000	0.52395183	-881.81630740	0.00000000	0.00000000	0.00000000
28.000000	0.01153846	0.03461538	0.00000000	0.52395183	-992.04334583	0.00000000	0.00000000	0.00000000
29.000000	0.03461538	0.03461538	0.00000000	0.27452552	-1102.27038425	0.00000000	0.00000000	0.00000000
30.000000	0.05769231	0.03461538	0.00000000	0.06043008	-1212.49742268	0.00000000	0.00000000	0.00000000
31.000000	-0.05769231	0.05769231	0.00000000	0.01330220	-771.58926898	0.00000000	0.00000000	0.00000000
32.000000	-0.03461538	0.05769231	0.00000000	0.06043008	-881.81630740	0.00000000	0.00000000	0.00000000
33.000000	-0.01153846	0.05769231	0.00000000	0.11533518	-992.04334583	0.00000000	0.00000000	0.00000000
34.000000	0.01153846	0.05769231	0.00000000	0.11533518	-1102.27038425	0.00000000	0.00000000	0.00000000
35.000000	0.03461538	0.05769231	0.00000000	0.06043008	-1212.49742268	0.00000000	0.00000000	0.00000000
36.000000	0.05769231	0.05769231	0.00000000	0.01330220	-1322.72446110	0.00000000	0.00000000	0.00000000
